,significantWaveHeight,peakPeriod,meanPeriod,peakDirection,peakDirectionalSpread,meanDirection,meanDirectionalSpread,timestamp,latitude,longitude,processing_source
0,1.28,8.54,5.28,142.147,25.619,129.249,38.647,2025-03-11 00:03:25,42.82972,3.42082,embedded
1,1.29,7.88,5.28,137.769,27.218,129.411,37.951,2025-03-11 00:33:25,42.82962,3.42072,embedded
2,1.29,7.88,5.22,136.253,27.483,126.467,40.517,2025-03-11 01:03:25,42.82947,3.42077,embedded
3,1.35,8.54,5.48,138.464,25.148,126.076,39.534,2025-03-11 01:33:25,42.82932,3.42085,embedded
4,1.39,7.32,5.48,123.533,26.865,125.657,39.167,2025-03-11 02:03:25,42.82925,3.42085,embedded
5,1.35,7.88,5.52,127.332,26.104,124.052,38.724,2025-03-11 02:33:25,42.8292,3.42085,embedded
6,1.45,8.54,5.66,132.791,21.061,124.374,36.715,2025-03-11 03:03:25,42.82905,3.42098,embedded
7,1.33,7.88,5.3,132.092,33.29,120.116,40.668,2025-03-11 03:33:25,42.82897,3.42102,embedded
8,1.48,8.54,5.6,137.467,23.579,123.569,39.091,2025-03-11 04:03:25,42.82887,3.42108,embedded
9,1.44,7.32,5.6,118.088,32.536,121.603,39.14,2025-03-11 04:33:25,42.82902,3.421,embedded
10,1.46,7.32,5.44,127.813,29.509,123.966,37.368,2025-03-11 05:03:25,42.82932,3.42072,embedded
11,1.68,8.54,5.56,139.496,20.718,125.395,34.357,2025-03-11 05:33:25,42.82947,3.42067,embedded
12,1.58,6.82,5.28,120.422,25.175,120.262,36.835,2025-03-11 06:03:25,42.82953,3.42067,embedded
13,1.64,7.88,5.32,133.034,21.928,120.821,35.594,2025-03-11 06:33:25,42.82955,3.4207,embedded
14,1.56,8.54,5.16,138.75,25.825,118.077,39.511,2025-03-11 07:03:25,42.8296,3.42067,embedded
15,1.66,6.02,5.18,109.905,30.79,116.217,36.942,2025-03-11 07:33:25,42.8297,3.42068,embedded
16,1.71,6.82,5.28,124.85,29.133,120.796,36.237,2025-03-11 08:03:25,42.82977,3.42068,embedded
17,1.68,6.82,5.18,125.515,31.229,120.179,37.69,2025-03-11 08:33:25,42.82978,3.42062,embedded
18,1.62,6.4,5.2,117.979,31.372,119.111,38.213,2025-03-11 09:03:25,42.82982,3.42062,embedded
19,1.67,6.82,5.26,124.512,29.265,118.459,39.096,2025-03-11 09:33:25,42.82992,3.42065,embedded
20,1.72,7.32,5.2,125.648,27.001,116.818,37.059,2025-03-11 10:03:25,42.83002,3.42063,embedded
21,1.71,5.68,5.22,109.195,30.078,118.124,38.739,2025-03-11 10:33:25,42.83007,3.4207,embedded
22,1.67,8.54,5.24,133.082,24.476,117.389,37.091,2025-03-11 11:03:25,42.83025,3.42075,embedded
23,1.65,6.82,5.2,122.495,26.0,118.572,35.187,2025-03-11 11:33:25,42.83035,3.42075,embedded
24,1.66,7.88,5.38,127.426,24.687,117.794,34.806,2025-03-11 12:03:25,42.8303,3.42068,embedded
25,1.68,7.32,5.28,115.361,23.599,116.934,34.78,2025-03-11 12:33:25,42.83033,3.42075,embedded
26,1.76,6.82,5.36,120.422,25.175,118.655,35.95,2025-03-11 13:03:25,42.83037,3.42075,embedded
27,1.87,7.32,5.4,122.576,24.848,117.961,33.838,2025-03-11 13:33:25,42.83032,3.42067,embedded
28,1.83,7.88,5.3,124.158,26.055,116.876,35.838,2025-03-11 14:03:25,42.83033,3.42067,embedded
29,1.84,6.4,5.42,115.088,25.739,118.61,35.469,2025-03-11 14:33:25,42.8303,3.42055,embedded
30,1.88,7.32,5.38,121.972,26.212,118.125,34.463,2025-03-11 15:03:25,42.83038,3.4206,embedded
31,1.76,6.02,5.26,113.14,28.294,120.287,36.716,2025-03-11 15:33:25,42.8304,3.42065,embedded
32,1.8,6.82,5.28,121.847,25.341,121.667,35.666,2025-03-11 16:03:25,42.83045,3.42067,embedded
33,1.86,7.32,5.4,128.699,27.86,125.009,35.063,2025-03-11 16:33:25,42.83043,3.4207,embedded
34,1.81,6.02,5.3,118.651,27.009,123.496,36.182,2025-03-11 17:03:25,42.83057,3.42075,embedded
35,1.81,6.82,5.44,123.52,23.847,123.653,33.153,2025-03-11 17:33:25,42.83067,3.42088,embedded
36,1.68,7.32,5.38,130.306,25.148,125.866,34.927,2025-03-11 18:03:25,42.83072,3.42093,embedded
37,1.86,6.02,5.5,125.516,27.467,127.56,33.66,2025-03-11 18:33:25,42.83067,3.42092,embedded
38,1.93,6.82,5.56,127.068,24.769,128.44,32.922,2025-03-11 19:03:25,42.83065,3.42092,embedded
39,1.86,6.82,5.66,133.946,25.432,132.939,33.748,2025-03-11 19:33:25,42.83072,3.42102,embedded
40,1.78,7.32,5.64,134.564,24.54,132.586,34.329,2025-03-11 20:03:25,42.83072,3.42103,embedded
41,2.05,6.82,5.9,128.984,23.379,132.417,32.061,2025-03-11 20:33:25,42.83063,3.42095,embedded
42,1.91,6.82,5.72,125.046,21.781,130.252,32.906,2025-03-11 21:03:25,42.83058,3.42093,embedded
43,1.89,6.82,5.84,129.551,28.821,131.812,35.515,2025-03-11 21:33:25,42.83042,3.42097,embedded
44,1.87,8.54,6.02,144.829,29.151,131.278,36.359,2025-03-11 22:03:25,42.8303,3.4209,embedded
45,1.9,8.54,5.88,145.804,22.655,130.389,36.278,2025-03-11 22:33:25,42.83022,3.42078,embedded
